RG. No.,Title,Arabic Title,I. No.,F. No.,Verified,Earliest autheniticaing mss.,Historic Ms.,Type of authentification,Incipit,Column1,Column2,Column3,Column4,Column5,Column6
158,K. al-Jadhwa wa-al- muqtabasa wa al-khaṭra al-mukhtalasa,,8,7,No mss.,,,,,,,,,,
515,K. al-Muthallathāt al-wārida fi al-Qurʾān,,10,9,No mss.,,,,,,,,,,
460,Miftaḥ al-saʿada fi maʿrifat al-madkhil ilā ṭarīq al-irāda,,9,8,No mss.,,,,,,,,,,
511.1,K. al-Murāsalāt al-Shaykh ilā baʿḍ al-nās,,,10,Extract.,,,,,,,,,,
391,R. fī al-Maḥabba,,28,27,Unverified.,705,Y?,,,,,,,,
454,Miftaḥ al-Fuṣūṣ,,,,Commentary,,,,,,,,,,
550,Nuskhat al-akwān                                               ,,,,Unverified.,1004,,,,,,,,,
611,R. al-Shaykh al-ʿArabī ilā Abī ʿAlī al-Ghazzāl,,,,Verified B.,667,Y?,,,,,,,,
677,Sharḥ alfāẓ al-Ṣūfiyya,,,,Extract.,,,,,,,,,,
30.91,al-Barq al-lāmiʿ al-mughrib,,,,Commentary,,,,,,,,,,
78,al-Bayʿa al-ilāhiyya,,,,Extract.,,,,,,,,,,
135.905,Anfās al-wāridāt by al-Busnawī.,,,,Commentary,,,,al-ḥamdu lillāh alladhī fataḥa khazāʾin al-jūd wa-l-karam,,,,,,
135.909,R. Ḥall al-maḥall al-muqfal,,,,Commentary,,,,,,,,,,
135.914,Sharḥ mushkilāt al-Futūḥāt,,,,Commentary,,,,,,,,,,
135.915,R. fī al-aṭwār al-sabʿa,,,,Commentary,,,,,,,,,,
